gene_name	HCM-CSHL-0080-C25-01A	HCM-SANG-0291-C15-85A-01R-A80W-32	HCM-SANG-0265-C18-85A	HCM-CSHL-0160-C18-01B	HCM-SANG-0269-C18-85A-01R-A80W-32
MSN	27813	1	103	3679	536
AKAP4	0	0	2	9	2
CCNB3	36	93	22	19	2
HDAC8	889	343	564	2719	645
SLC16A2	521	11	9	184	87
DIPK2B	339	0	2	244	2
ZNF157	2	0	1	10	5
ZNF182	344	572	404	536	605
CHST7	105	16	73	37	265
KRBOX4	238	364	397	353	1529
NDUFB11	881	2940	3239	426	8888
ZNF41	561	588	675	839	189
RAB41	24	8	35	33	19
ZMYM3	1666	3312	2368	866	2333
TAF1	3752	2781	4484	3691	2505
GPR174	162	0	1	208	0
NONO	11678	28486	28053	6652	27690
CCDC120	464	2081	767	707	662
LPAR4	29	0	2	22	0
EBP	208	1192	2247	492	2791
AWAT2	1	0	1	7	9
OGT	8539	5078	9678	20626	17847
SNX12	2044	2606	3412	1580	2479
ITGB1BP2	76	17	35	88	71
IL2RG	126	193	117	468	90
GCNA	149	57	59	165	409
ZNF711	352	65	894	833	1503
CPXCR1	0	0	0	1	2
DIAPH2	3144	2204	4900	5210	1876
NXF3	112	1	32	14	2
RIPPLY1	2	4	20	10	0
PRPS1	876	1652	2194	845	3776
RADX	73	214	210	136	262
FRMPD3	16	0	2	26	21
HTR2C	0	0	0	8	0
DOCK11	2226	9	4130	1448	1021
IGSF1	113	0	5	97	113
ARHGAP36	2	0	1	12	0
GPC3	218	29	35	39	80
GPR119	4	0	1	2	0
RBMX	6076	20472	13942	5293	13721
MCPH1	943	397	386	633	317
MFHAS1	1781	1359	1421	1217	690
FBXO25	894	893	554	2141	463
FATE1	2	0	0	1	0
MAGEA4	0	0	1	3	1196
NSDHL	788	1612	2474	441	1850
ZNF185	2979	612	385	342	484
CETN2	1166	2292	2727	596	2834
RPL10	17913	30955	56716	8478	182103
CSGALNACT1	803	60	39	350	66
ATP6V1B2	4293	1308	1010	2413	1040
CCDC25	711	1728	1151	581	773
HMBOX1	1169	417	436	1351	307
CHRNB3	1	0	0	7	0
CHRNA6	13	0	1	23	2
GNRH1	75	9	13	137	28
BIN3	397	235	238	184	104
DOK2	222	0	0	101	0
SLC25A37	3582	1495	788	1537	1106
CHMP7	1447	1368	897	531	425
DOCK5	6339	2112	1127	3330	414
STAR	15	4	7	42	5
PLPBP	875	1251	779	1202	1066
ERLIN2	2096	3054	1392	1758	612
SNTG1	11	3	2	22	5
PXDNL	87	6	39	48	2
ST18	84	9	13	70	139
RGS20	13	0	11	35	24
TACC1	7920	839	4946	5873	617
GOLGA7	271	232	329	192	2108
PLPP5	818	327	1182	910	416
GINS4	90	275	764	127	338
NSD3	3233	1966	3661	4437	728
DNAJC5B	33	1	1	44	5
CRH	0	0	0	3	0
TRIM55	2	0	1	9	0
ADHFE1	11	1	8	37	0
MRPS28	54	85	87	108	87
PMP2	57	0	1	24	0
LACTB2	264	794	894	289	775
PRDM14	0	1	1	5	0
TERF1	631	950	1119	1705	891
RPL7	9630	52101	57031	12510	225736
SLC26A7	109	32	4	26	19
PSKH2	0	0	0	6	2
ATP6V0D2	48	0	1	34	2
SYBU	126	980	1990	1138	1099
DPYS	3	0	1	10	0
MTDH	5465	7834	13884	7564	11138
LRP12	679	0	56	571	326
EBAG9	373	1274	1018	726	1664
RSPO2	1	2	1	37	0
POLR2K	555	1748	1713	1519	7028
MAL2	2852	16428	9614	4771	13624
EIF3H	3279	19148	19316	4741	41165
UTP23	515	1108	2005	1133	2507
NDUFB9	1143	1833	3059	1381	13723
TATDN1	415	1201	1534	814	5393
FAM83A	1105	71	28	22	7
GSDMC	64	0	0	42	0
FAM135B	5	1	4	52	0
TTTY7	0	0	0	0	0
TTTY7B	0	0	0	0	0
ZNF7	588	803	1186	1231	929
ARHGAP39	229	1048	1151	572	328
SLC39A4	2228	1987	1189	454	2103
NAPRT	594	1850	518	258	674
VLDLR	514	50	35	164	104
AK3	1243	3743	5264	2585	15867
UHRF2	1848	624	1858	2363	4121
NFIB	2397	1447	1994	3861	3105
CER1	3	0	7	4	0
PLIN2	1709	4	2960	1052	10748
IFNA5	1	0	0	1	0
HAUS6	641	980	3915	1340	2188
CDKN2B	2124	825	830	639	90
IFNA16	2	0	0	0	0
CDKN2A	636	1690	1023	33	1555
C9orf72	516	173	506	887	2441
IFNK	48	0	19	177	0
ZCCHC7	681	738	1623	1265	5804
FBXO10	133	28	89	110	385
SIGMAR1	788	3917	5130	1231	5097
CBWD5	230	168	395	586	1141
CEP78	635	1758	2558	1195	820
NTRK2	440	77	1048	123	69
IDNK	58	202	146	186	175
SHC3	75	65	63	169	929
AUH	381	1234	850	439	1354
MFSD14B	2019	4468	3965	2139	1966
AOPEP	2247	508	1029	1470	1189
PLPPR1	3	0	38	10	12
OR13C4	1	0	0	2	0
ZNF462	2652	152	2187	1683	714
INIP	665	2329	2652	894	2063
UGCG	2302	3979	2733	1985	3167
ACTL7B	1	1	0	2	5
SNX30	1861	2983	4247	2428	1045
STOM	3354	239	1102	3326	35
GSN	13946	44292	5904	2505	3708
MRRF	809	4388	5370	2007	2765
NR6A1	184	1155	940	897	1137
CRB2	11	10	39	117	17
OR5C1	5	0	0	3	0
ALAD	1217	5188	1658	739	2500
ASTN2	141	216	202	157	95
WDR31	162	1014	648	221	213
POLE3	829	4853	3658	850	3585
SURF4	7584	12763	13399	3977	6123
GBGT1	229	0	266	189	66
SURF1	408	2555	914	248	1980
SURF2	140	950	599	79	532
SURF6	849	5572	3208	671	1236
MED22	805	2275	2347	680	461
REXO4	522	2580	1802	384	709
RPL7A	13899	130199	117957	7944	402964
GTF3C5	943	4086	3106	478	1685
ASB6	812	1337	1307	396	700
PTGES2	1491	4433	3897	713	1673
NTMT1	297	922	811	260	1328
CIZ1	1647	9377	3217	1328	4032
SLC25A25	707	2187	1593	466	995
SH3GLB2	1418	6010	4168	1212	1931
MIGA2	509	1510	1771	443	1321
PTGES	1600	55	1036	488	125
LCN2	30572	85136	5484	1638	3160
LRSAM1	760	2275	2390	609	1165
HMCN2	181	33	292	294	9
GPR107	3665	7515	4273	3730	4098
PAXX	353	1022	972	96	2139
IDI2	0	0	2	3	5
INPP5E	403	1191	766	462	586
LCN9	0	0	0	2	0
SEC16A	6370	9957	10163	3659	2876
DPH7	496	954	1459	492	1980
NOTCH1	2756	1436	2925	2270	2460
CACNA1B	10	9	2	27	5
NACC2	1488	2455	2790	870	508
PROSER2	241	578	601	121	813
USP6NL	992	2260	2457	3972	1491
COMMD3	146	173	205	197	716
MSRB2	412	876	1264	363	2316
PDSS1	115	493	1014	442	525
FAM171A1	515	2680	3064	999	1598
MINDY3	705	838	896	749	995
SLC39A12	2	0	0	12	0
TMEM236	59	32	5	570	31
RSU1	2360	2544	2420	1235	496
ST8SIA6	32	0	130	143	9
PARD3	2647	4226	3118	1301	2068
ANKRD30A	0	2	1	11	0
ZEB1	3509	146	37	1663	2
FAM13C	99	0	0	84	24
NRBF2	766	1141	853	392	2930
A1CF	71	72	446	1787	203
CDHR1	22	0	5	1048	61
LRIT1	0	0	1	0	0
RGR	1	0	1	16	61
POLR3A	1110	1909	3103	1240	1156
HERC4	2526	2484	2894	3083	3552
LRMDA	131	6	200	252	12
CAMK2G	1136	3004	2132	1416	2247
ADIRF	0	0	0	0	0
GLUD1	3832	6376	7999	3074	3932
ANKRD1	207	1062	284	4	9
HTR7	16	0	0	17	0
RPP30	490	433	861	490	1172
FRA10AC1	438	871	727	853	1082
ADD3	4720	13959	7144	6492	6981
HABP2	706	0	10	7	0
VAX1	0	0	1	12	21
DNAJB12	1279	1831	1986	745	1198
EIF4EBP2	4914	11924	9508	8943	12691
NPFFR1	60	6	74	129	64
PLEKHS1	621	93	821	625	350
TCF7L2	990	6810	908	2334	2073
MKI67	2994	9721	12057	7127	2125
CYP17A1	2	0	1	10	0
INA	6	1	1	10	12
FUOM	154	692	818	86	454
LRRC27	215	352	387	191	118
MTG1	125	117	67	174	59
NKX6.2	2	0	1	11	0
PAOX	11	16	13	17	2
GSTO1	2046	2801	3572	682	14404
TAF5	145	304	476	228	229
PPRC1	1671	4035	2169	1276	1165
ITPRIP	1441	671	526	551	123
CNNM2	761	1079	461	939	541
PDCD11	2263	3999	9064	1756	1626
ADAM12	6961	1	20	1838	0
RGS10	467	972	679	212	5057
BTBD10	1453	1474	1351	767	1146
ADM	1038	55	269	275	508
GAS2	90	48	147	117	189
SLC5A12	40	4	8	17	118
LIN7C	2226	913	4132	2385	3252
LRRC4C	100	0	2	18	0
IMMP1L	196	95	254	280	383
SAA4	24	0	0	3	0
PGAP2	757	1452	1066	365	962
TUT1	264	490	323	115	338
SCGB1A1	0	1	0	0	0
SYT8	672	498	57	9	2
ZNF214	131	119	141	174	61
ZNF215	310	118	516	407	137
HSD17B12	1521	1081	3533	1462	2919
APIP	385	626	1211	314	3131
PAMR1	472	0	8	119	2
DGKZ	2067	2380	2774	1253	1482
EIF3M	3450	3322	7462	1758	18748
TNKS1BP1	13960	5443	5878	1570	1387
GLYAT	2	1	4	11	0
SERPING1	7875	14	45	1597	2
OR5F1	1	0	0	1	0
SSRP1	3938	9060	7021	1723	2278
SLC43A1	406	1415	1539	297	749
PTPRJ	4555	1802	2546	3184	1217
C11orf49	934	795	1148	635	789
ARFGAP2	2447	1451	3256	1115	955
CELF1	6162	3381	6643	5233	4138
HIKESHI	759	551	1042	363	3516
CCDC81	54	11	8	27	31
SESN3	2462	1909	1630	6290	4020
ENDOD1	3973	3559	3024	1437	778
CCDC82	2212	1110	726	1510	796
KLHL35	77	18	116	141	33
TENM4	2447	12	1	472	0
SERPINH1	10073	2502	2033	1786	1186
CAPN5	1184	9819	2310	1889	2025
INTS4	1339	756	1051	540	723
PAK1	2565	4517	3456	2013	1562
RPS3	12616	101103	69875	8192	434766
ZC3H12C	2110	54	392	786	269
TTC12	415	387	1264	431	276
NCAM1	44	1	15	258	298
DRD2	10	0	927	18	196
C11orf52	2	0	3	2	5
HTR3B	0	0	1	8	0
NPAT	2120	722	2050	1601	605
ATM	9071	2299	7827	5345	2198
AASDHPPT	1196	853	1979	829	1579
GLB1L2	602	1404	3387	737	820
SLX4IP	885	645	1830	697	815
LAMTOR1	1715	2766	2041	913	4523
P4HA3	459	3	18	117	17
GRIK4	11	0	5	22	5
ST14	11744	9545	12108	3379	7423
HYOU1	6504	3911	9498	2365	1503
GGTLC1	2	0	0	2	0
SCP2D1.AS1	1	0	0	1	0
ADAM33	115	0	4	204	12
SLC22A8	1	0	0	17	2
KAT14	528	973	2077	232	896
TKFC	1194	3540	2369	378	943
MTA2	3439	5367	7017	1329	1860
TMEM138	662	548	678	549	496
FADS1	1053	101	2556	698	1309
TMC2	10	7	73	17	5
ROM1	41	56	46	23	19
EML3	1341	1686	745	438	536
INCENP	933	2118	2460	590	1040
ZP1	5	0	2	3	5
OOSP2	0	0	0	3	0
MS4A3	2	0	2	13	0
PLCH2	87	128	42	58	73
FRG1BP	189	619	668	526	624
CPSF7	2284	4990	2009	1713	2016
MS4A2	251	0	2	149	0
B3GAT3	777	791	1043	221	1444
EI24	3685	3282	5790	2670	4634
CCDC15	178	103	243	140	97
CHEK1	649	758	1995	602	730
FEZ1	423	2	20	125	61
ESAM	500	92	31	191	31
KIRREL3	88	5	13	34	47
MPZL2	3218	1113	1921	938	941
SCN2B	24	0	1	17	0
SIDT2	1951	632	811	963	896
TMEM25	424	452	55	61	1033
TAGLN	20869	53	156	1354	251
JPH2	468	0	10	126	7
DUSP15	22	12	32	63	50
COMMD7	601	563	566	717	2264
C20orf144	38	29	59	112	19
KIAA1755	1038	4	70	370	7
SPATA25	47	37	68	124	57
OCSTAMP	0	0	0	3	0
DSN1	520	875	1637	750	1553
SOGA1	3139	341	1505	2327	652
CNBD2	5	6	16	23	0
SPINT4	12	0	2	87	0
CDH22	3	0	1	15	9
LINC00266.1	3	1	4	14	14
LSM14B	1131	2687	1949	1812	1593
YTHDF1	2669	3929	3185	2433	4270
CABLES2	160	252	695	655	343
LTO1	429	527	719	675	515
GPHA2	7	0	4	11	0
SLC22A9	8	0	0	4	0
TRPT1	433	560	625	105	752
NUDT22	496	750	786	137	310
FERMT3	774	49	36	236	92
PLCB3	2810	5923	3710	882	860
MRPL49	1496	2654	2535	570	3531
CDC42EP2	1	0	7	1	0
FAU	3424	6290	5427	1036	28063
TM7SF2	686	3337	1567	115	1193
VPS51	2033	2890	3546	569	1283
TBX6	91	614	46	13	83
PPP4C	1914	5039	3576	584	4537
ALDOA	290	627	194	102	177
TLCD3B	3	3	14	5	19
DOC2A	11	3	65	37	414
HIRIP3	159	1137	352	68	92
TAOK2	2261	3030	3311	900	1231
TMEM219	1560	2990	2157	776	4899
HMGA2	1654	87	509	976	2642
MMP3	613	2	1	956	2
CNKSR2	93	0	1	137	2
CNTN5	145	0	1	18	28
KLRF1	17	106	0	17	0
CLEC1A	69	0	0	87	0
MKX	24	0	8	90	9
MPP7	355	1205	785	735	1616
ITGB1	52452	22246	13135	10409	8380
FRMPD2B	0	0	0	3	0
FXYD4	0	7	7	3	76
TRIM48	0	0	0	2	2
OR8K1	0	0	0	0	0
OR5M9	0	0	0	0	0
PCDH15	3	0	1	37	0
PPIAP26	0	0	2	0	2
CTF1	122	279	2	9	14
CWC15	1054	1377	1377	632	3644
FCGR1A	181	0	1	60	0
ARID5B	3826	1395	8272	4276	1815
KLHL1	0	0	0	9	0
CDH8	8	0	0	27	9
DCUN1D2	350	555	682	593	941
TMCO3	2040	4391	1999	1374	1801
TMEM218	472	392	484	444	860
TIRAP	214	157	255	186	113
EEF1AKMT1	91	262	340	154	1605
LATS2	1917	689	532	780	610
SAP18	1637	5672	3487	1993	12511
ADGRL3	246	67	5	380	28
KIAA1328	336	260	137	251	97
FAM124A	34	3	13	114	26
MIA2	5476	2623	1596	1267	1886
HNMT	1998	1992	1216	1269	5483
LYPD1	58	3	8	45	2
LYPD6B	346	2	5	28	241
PDCD4	1817	3422	3514	3195	3838
ADRA2A	498	36545	110	221	7
GPM6A	23	0	2	23	2
WDR17	154	0	2	48	0
SPATA4	4	0	2	8	0
VEGFC	306	0	0	106	0
CCDC102B	251	28	12	383	17
CD226	218	7	2	291	5
CNDP1	2	18	377	17	0
FSIP1	44	21	15	31	0
DLG2	151	45	64	130	73
CCDC83	18	0	4	16	0
RGS18	96	2	1	85	0
PRSS23	9511	1003	2392	3738	2585
MTMR12	1934	586	2750	1178	1413
PPP1R1C	100	583	13	21	40
AL136372.1	0	0	0	1	0
C11orf53	7	54	168	27	12
CCT5	4658	6364	12021	2119	9949
ATPSCKMT	348	158	1202	548	286
DOCK1	4763	3309	2943	2626	787
DIXDC1	1516	231	667	847	307
DLAT	1280	1438	2955	1071	995
PIH1D2	57	28	69	35	35
NKAPD1	1099	1046	2201	1046	1735
TIMM8B	645	383	878	311	3169
IL18	2263	1507	671	378	3658
TEX12	7	1	7	17	0
PTS	450	204	545	472	3696
PIP4K2A	1823	1726	827	1309	463
C2orf50	13	54	28	17	21
FREM2	268	40	77	91	61
FOXO1	2924	1189	142	1927	489
CRIM1	3770	1135	2439	3279	1087
SEC24D	3749	920	810	1735	948
ABCB9	247	449	441	121	362
RILPL2	440	571	880	264	548
DHX37	835	1622	1533	480	598
UBC	31683	17443	13353	5334	12806
ITPR1	2095	769	456	2180	501
TKTL2	2	0	0	2	2
PRSS53	55	20	30	51	61
SLC7A11	711	8292	3952	1013	3741
NOCT	302	98	306	256	213
ENKUR	180	47	22	32	14
GPR158	156	21	24	29	163
LYZL2	0	0	0	4	7
CACNA2D4	176	211	241	116	87
DCP1B	544	1171	441	352	392
CACNA1C	1317	28	48	554	102
KCNA6	14	0	10	30	0
THRB	338	1360	354	112	208
NGLY1	699	1157	764	1280	1182
OXSM	180	515	404	112	1210
UEVLD	1478	1632	1739	1128	962
TMEM86A	1183	202	135	171	19
C12orf45	673	974	1528	2593	2462
TMEM263	1666	2341	1442	1229	3089
BTBD11	60	171	65	52	473
UBE3B	1812	3036	1860	1600	1583
ANK3	1100	759	1418	2053	487
IPMK	526	1199	1177	1008	806
RAD9B	24	12	58	74	97
PLBD2	2638	3300	882	1385	1652
DLG5	2594	2201	2540	1463	1245
MAT1A	63	0	2	11	177
SLC2A13	581	479	156	750	461
GXYLT1	751	1069	986	1280	586
TWF1	1985	5882	4663	2702	7281
DIP2C	2372	1303	791	888	903
EIF4E	1029	2420	1906	1419	3257
MAGI1	1480	6720	2041	1543	967
TEX30	43	159	136	105	711
CSNK1G3	1394	3030	3242	1779	2075
AL136982.1	0	0	1	3	0
SRFBP1	632	864	1439	586	562
AKAP6	549	310	124	222	64
NPAS3	143	4	16	48	7
FAM177A1	1994	2112	805	990	3410
MBIP	569	611	370	295	1772
MIPOL1	1183	999	356	397	506
EXT2	6162	1853	5314	2300	2295
TMEM18	440	1012	1107	511	2994
ALLC	1	0	2	10	2
KCTD14	99	66	39	62	147
THRSP	7	0	11	9	9
NDUFC2	521	623	735	425	714
ME3	698	643	371	463	324
MSGN1	0	0	0	1	0
ADAMTS12	8336	0	12	1129	2
NUBPL	613	931	1252	480	799
NEK7	3699	3085	1836	1775	2247
ATP6V1G3	0	0	0	5	2
FER	2004	721	284	1331	229
VIPAS39	1134	964	694	348	985
ANKRD50	3433	932	940	2213	425
UPF2	1642	2897	2220	1643	2290
CDC123	965	2607	2768	781	3765
SCLT1	552	514	437	844	139
CCDC3	432	1	7	297	66
C4orf33	357	803	330	532	1340
FRMD4A	833	20	59	705	69
SLC25A31	0	0	0	3	0
PTPRO	260	3	5464	1299	19
EPS8	6499	6276	4152	4177	2434
ACAD8	913	540	1420	470	858
THYN1	733	1115	1861	260	4006
VPS26B	1866	1545	2791	1064	858
NCAPD3	1182	1840	5045	1114	846
VTI1A	942	1383	1732	1366	614
QDPR	313	1496	341	552	1494
FAM160B1	1718	655	1408	1324	933
ANO4	27	0	10	17	5
TEX9	241	265	128	135	73
QTRT2	891	1706	1485	1157	707
DRD3	2	0	0	10	0
MMAA	374	616	351	499	234
ZNF827	1876	1454	589	1850	591
POU4F2	0	0	0	3	0
EDNRA	2477	1	5	557	0
NR3C2	379	228	111	1273	76
AKR1C6P	11	1	8	65	19
AKR1C2	166	822	53	110	3514
DPYSL4	102	9	12	23	7
VENTX	49	0	1	29	9
ADAM8	2559	1375	158	246	274
ITIH2	46	1	8	42	2
KIN	454	500	568	452	560
PIGF	209	221	530	483	844
ANKAR	239	73	109	371	92
INPP1	422	2979	671	463	1267
MFSD6	2025	3578	2427	2200	1146
RNF144A	3070	324	404	995	225
ASAP2	3637	5560	1611	1292	626
ADAM17	2767	1192	2160	1731	1115
FLI1	695	0	4	604	0
KCNJ1	7	0	2	19	14
TMEM45B	663	1755	4695	1994	4251
WWC2	2795	392	47	806	248
CENPU	321	557	515	385	995
ACSL1	4606	2806	2747	2298	1227
SLC25A4	463	715	773	414	2694
AMN1	177	415	177	96	1704
BICD1	2878	948	829	701	681
SAV1	1919	3331	716	388	870
CCDC122	189	146	82	551	399
SERP2	31	202	202	50	14
NBAS	3999	3605	6086	2387	1444
ZNF385D	118	0	0	86	0
TDO2	245	0	13	186	0
GUF1	1072	3733	1641	1496	605
SLC35F4	16	0	5	20	7
GABRA2	9	0	1150	234	12
SACS	4103	467	2959	1597	588
CCDC175	1	0	22	38	19
PABPC3	17	28	38	79	40
CENPJ	486	890	1367	1116	643
FBXO4	315	211	786	197	539
TMEM267	434	367	829	358	886
CCL28	81	928	173	399	173
PARP8	2369	1644	911	1386	302
GFRA1	268	0	4	137	0
CACUL1	3339	4344	6512	3458	2687
DST	46402	3937	7634	17195	1569
BEND6	78	0	8	64	9
TIAL1	1596	3612	1987	2487	11443
BAG3	872	2083	1201	449	1227
GLT1D1	89	1	2	69	31
TMEM132D	7	0	1	17	19
RBM46	1	0	0	11	0
ZNF37CP	2	4	0	0	0
SCHIP1	46	0	1	59	0
MCHR2	4	0	0	5	2
KCNE4	863	0	2	175	7
AP1S3	552	1121	586	198	1255
RABGAP1L	4875	3883	2916	3250	1215
CCDC74B	81	7	12	5	5
TLCD4	78	780	143	774	1082
MZT2B	320	423	384	100	3023
TUBA3E	2	1	1	3	5
ASTN1	6	0	2	12	2
CFC1B	0	0	0	0	0
FAM168B	3526	7835	4240	2822	3618
PTPN14	6720	3528	2859	1800	529
SMPD4BP	631	831	316	388	2068
MGAT5	3920	28376	20402	10841	26312
TMEM163	278	923	35	128	66
GPATCH11	430	572	805	518	669
HSPB8	305	0	8	116	9
GEMIN6	330	803	920	196	1654
TMEM178A	33	56	32	30	484
POU4F1	4	0	18	83	24
OBI1	227	684	875	449	1125
CYSLTR2	109	1	0	100	0
GRID2	2	0	0	44	0
ARL11	104	1	42	209	234
RIT2	1	0	0	3	0
SETBP1	840	0	9	952	7
ARL14EP	963	526	1296	587	2063
EPG5	2977	1381	1063	2156	364
PSTPIP2	206	0	282	1101	168
ATP5F1A	6577	12070	8209	3102	7229
HAUS1	343	544	393	207	886
C18orf25	1322	898	568	1243	522
SPC25	48	280	268	231	510
G6PC2	7	2	2	8	0
PDK1	1159	614	1074	2135	952
PTH	0	0	0	4	0
PDE3B	528	606	950	1582	293
TCF7L1	111	28	20	127	404
TGOLN2	11207	18531	11703	10097	8108
SH2D6	7	8	8	9	5
KCNK13	33	0	3	30	0
UHMK1	5748	6572	9361	6852	4216
ATG10	233	309	622	284	338
POC5	256	509	588	344	853
SPOCK1	4102	5	3	1002	9
FAM151B	122	19	43	82	17
TADA1	433	519	501	485	936
GUCY1A2	1569	0	12	434	5
CWF19L2	1266	311	865	700	1368
JMY	1806	1672	2244	1899	919
HOMER1	451	705	1318	508	740
XRCC4	298	1376	2799	243	605
BOLL	28	0	6	52	35
ZNF547	81	64	67	65	156
ZNF773	255	255	194	140	196
ZNF776	1167	720	438	556	515
ZNF256	87	9	3	106	279
SUV39H2	267	457	1117	625	818
DCLRE1C	812	719	1661	1753	1189
OLAH	2	1	15	9	0
RPP38	166	516	474	203	640
NMT2	462	810	1365	589	1465
ZSCAN1	7	0	0	6	2
ZNF837	88	112	129	20	85
USP12	1121	1977	2488	3028	1652
CCDC50	4773	1110	2081	2549	1482
CAMK4	375	9	80	340	2
TRIM36	77	108	493	301	151
ZFP36L2	4014	16991	2421	3935	7645
PAN3	1903	1357	2123	4040	2051
PLEKHH2	728	46	167	867	45
PFKM	1902	6539	5768	957	4476
TMEM123	12704	16268	27892	12953	20135
GRIA4	64	1	2	38	9
IGSF10	115	34	73	125	0
SPEF2	312	49	207	342	199
SPARCL1	6069	0	49	1904	168
DSPP	25	0	1	14	7
DMP1	18	0	0	9	35
MEPE	4	0	0	6	0
MBNL1	6467	4392	4346	6916	3833
CAPSL	2	0	0	3	0
NADK2	615	390	1125	766	586
GPD1L	759	2760	1699	1602	1628
GJA1	6583	0	15	643	5
CCNO	50	341	711	60	260
DDX4	0	0	1	10	5
CLEC4F	4	0	0	21	7
SLC30A6	1460	1983	2644	1609	1954
PELO	1106	1190	1340	462	1276
RASGRP3	1000	5	28	889	43
SAR1B	1811	2434	3585	2300	4478
CATSPER3	9	10	9	16	26
GPR180	998	821	1672	1617	2401
TCTEX1D1	36	0	0	29	0
DNAI4	163	331	208	353	54
ANKRD22	516	2991	1568	1257	3873
FARP1	4430	7983	3231	7055	4100
IFIT5	1251	259	564	1158	669
SLC16A12	13	0	3	21	0
PANK1	239	915	1287	840	234
PRDM8	104	488	67	61	28
BMP3	5	0	2	251	0
HNRNPDL	5936	9364	5236	3570	8283
HHEX	150	249	473	84	9
UTRN	12792	819	330	8464	50
GRM1	11	1	2	9	0
PTPRK	15567	4648	3716	4147	3474
GGPS1	503	620	820	329	1002
CNTNAP4	0	0	0	6	0
ZNF117	1350	2732	757	1528	319
PART1	13	10	108	59	539
RAB3C	44	10	5	86	12
LMNTD1	1	0	0	10	0
MARVELD2	828	2012	2407	1193	1307
RAD17	696	1390	1586	814	1125
MED21	1100	1164	1298	687	2344
PLOD2	5799	2	1761	2959	118
STK32B	125	0	1	46	2
NRSN1	12	1	1	9	0
JAKMIP1	2	0	0	4	0
ZIC1	0	0	0	9	0
ADGRA3	3388	3708	2147	2453	785
CPB1	26	2	48	13	0
SREK1IP1	945	1553	1875	1214	3188
LGI2	261	0	32	195	26
CWC27	555	1520	974	550	1720
MR1	1227	876	332	555	87
SRP19	332	383	486	502	610
CENPH	142	1858	2436	271	1505
CDYL	1236	1838	1381	1088	562
CARHSP1	1322	2045	1265	680	2904
TEKT5	10	18	5	3	5
BANK1	463	371	26	137	52
TXNDC11	1478	1423	996	1007	562
DAB2	4453	550	1295	4310	782
ACMSD	29	2	9	29	14
ACOXL	67	168	25	87	26
BCL2L11	1775	1118	363	1305	1092
ANAPC1	1608	2054	3503	1711	1394
CAST	7127	8438	9649	7914	2585
SCOC	1689	4713	2191	1441	9391
CLGN	29	1	12	23	50
CETN3	176	876	810	160	1262
SMARCA5	5037	7432	4762	3610	1590
SYCP2L	21	6	9	23	43
BMP6	84	9	23	117	33
RGPD3	13	9	13	16	19
RASSF3	1283	12974	2826	2223	3037
HNRNPU	16108	24954	22943	20109	6990
RANBP2	11360	8709	11956	6506	3902
AHCTF1	3372	3919	5503	2958	2049
MERTK	1045	63	91	1023	251
TMEM87B	3914	2765	2980	3744	2548
OR14K1	0	0	0	4	0
PTPRR	454	522	631	88	385
NR4A2	339	405	133	229	515
CCDC148	41	46	102	28	78
PLA2R1	2839	2205	992	2179	113
RBMS1	4404	649	25	2315	338
SCN3A	33	3	8	75	21
FEZF2	0	0	0	3	0
CD96	327	41	25	323	33
SLC25A27	166	84	316	565	3228
ADGRF1	903	1416	337	47	243
ADGRF4	1178	24	153	227	31
FRMD1	3	21	26	440	83
CYRIB	1725	2803	3888	3103	2975
ASAP1	2562	912	1629	3425	707
TRAPPC8	2095	1421	938	1460	941
FAM81B	49	97	5	18	2
LINC00467	208	507	556	282	707
INO80C	209	278	76	143	288
LPCAT1	1764	1167	3057	1148	1999
PLEKHG4B	33	1	11	18	7
NMRAL1	709	1979	2146	490	1054
UBALD1	250	1486	286	182	813
C16orf89	27	3	2	19	7
TMEM251	179	227	158	156	525
ING1	374	1712	931	592	1676
TEX29	6	13	5	9	66
SPACA7	0	0	0	2	0
ADPRHL1	424	610	343	47	206
CMTM7	563	3737	1016	502	2321
FBXL2	686	252	151	570	288
UBP1	2039	4633	2377	3704	3280
RMND5A	2973	4382	4071	4583	4282
CD8A	230	9	18	90	47
RPIA	427	2145	1260	710	4003
GOLGA8F	0	0	0	0	0
PTPRD	726	0	54	1442	1007
LURAP1L	313	606	688	686	5951
CNKSR3	720	517	688	1242	454
GTF2E1	437	727	476	468	924
CFDP1	737	1775	686	568	867
TGIF2LX	0	0	0	3	0
ZDHHC7	2528	11474	1841	1522	1564
CIBAR2	4	1	0	5	0
C7orf31	134	111	50	204	69
TMPRSS11D	123	0	3	29	0
JAZF1	439	42	94	492	40
CMIP	3418	5623	1343	2874	1718
SPHKAP	2	0	0	14	0
KCNJ16	51	0	7	31	0
PID1	291	0	31	342	76
TRIP12	13386	7563	8026	8462	2926
FBXO36	224	173	104	85	69
CEBPG	1174	3225	6540	2373	3015
KCTD15	983	36	14	193	19
ZNF599	190	107	101	131	45
MCOLN2	131	1	179	402	288
LGI4	102	6	13	65	24
DDAH1	1238	8997	4277	4760	1011
SREK1	2337	2265	3083	4918	2231
CHD1	3027	2380	5364	4476	1642
CLCA3P	17	1	7	84	2
ANKFN1	21	26	11	57	9
DGKE	587	797	902	1124	1401
HS2ST1	1584	2238	2062	2096	900
MSI2	3253	6141	4373	5142	9049
CACNA2D1	1229	0	25	448	2
ZUP1	459	470	672	312	2822
