gene_symbol	gs_name	gs_description
FOXO3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
FUCA1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
G3BP1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
GADD45A	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
GADD45A	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
GADD45B	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
GCH1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
GINS1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
GINS2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
GINS3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
GINS4	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
GLS2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
GM2A	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
GMPR2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
GNA15	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
GPX1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
GPX2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
GPX3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
GPX4	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
GPX4	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
GSDME	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
GSN	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
GSPT1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
GSPT1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
GSR	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
GSTM1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
GTF2A2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
GTF2B	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
GTF2F1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
GTF2H1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
GTF2H3	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
GTF2H5	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
GTF3C5	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
GUCY2D	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
GUK1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
H1-0	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
H1-2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
H2AC25	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
H2AJ	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
H2AX	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
H2AX	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
H2AZ1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
H2AZ1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
H2AZ2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
H2BC12	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
HBEGF	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
HCLS1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
HDAC3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
HELLS	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
HEXIM1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
HGF	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
HIF1A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
HINT1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
HIRA	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
HMGA1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
HMGA1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
HMGB2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
HMGB2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
HMGB3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
HMGB3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
HMGN2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
HMMR	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
HMMR	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
HMOX1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
HMOX1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
HNRNPD	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
HNRNPD	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
HNRNPU	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
HOXC10	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
HPRT1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
HRAS	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
HSPA4L	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
HSPA8	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
HSPB1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
HUS1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
HUS1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
IER3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
IER3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
IER5	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
IFI30	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
IFITM3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
IFNB1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
IFNGR1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
IGF2R	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
IGFBP6	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
IL18	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
IL1A	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
IL1A	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
IL1B	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
IL6	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
ILF3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
ILF3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
IMPDH2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
INCENP	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
ING3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
INHBB	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
IP6K2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
IPO7	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
IRAG2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
IRAK1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
IRF1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
ISCU	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ISG20	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
ITGB4	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ITPA	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
JAG2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
JPT1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
JPT1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
JUN	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
JUN	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
KATNA1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
KIF11	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
KIF13B	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
KIF15	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
KIF18B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
KIF20B	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
KIF22	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
KIF22	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
KIF23	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
KIF2C	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
KIF2C	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
KIF4A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
KIF4A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
KIF5B	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
KLF4	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
KLK8	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
KMT5A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
KNL1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
KPNA2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
KPNA2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
KPNB1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
KRT17	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
KRT18	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
LBR	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
LBR	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
LDHB	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
LEF1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
LGALS3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
LIF	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
LIG1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
LIG1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
LIG3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
LMNA	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
LMNB1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
LMNB1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
LUC7L3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
LUM	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
LYAR	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MAD2L1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MAD2L1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MADD	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
MAP3K20	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MAPK14	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MAPKAPK3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
MARCKS	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MCL1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
MCM2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MCM2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MCM3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MCM3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MCM4	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MCM5	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MCM5	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MCM6	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MCM6	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MCM7	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MDM2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
MEIS1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MEIS2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MELK	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MGMT	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
MKI67	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MKI67	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MKNK2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
MLH1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MMP2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
MMS22L	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MNAT1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MPC2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
MPG	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
MRE11	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MRPL40	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
MSH2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MT2A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MTF2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MTHFD2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MXD1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
MXD3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MXD4	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
MYBL2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MYBL2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
MYC	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
MYC	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
NAA38	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
NAP1L1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
NASP	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
NASP	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
NBN	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
NCAPD2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
NCBP2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
NCL	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
NDC80	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
NDRG1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
NEDD9	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
NEFH	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
NEK2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
NELFB	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
NELFCD	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
NELFE	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
NFX1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
NHLH2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
NINJ1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
NME1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
NME1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
NME3	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
NME4	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
NOL8	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
NOLC1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
NOLC1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
NOP56	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
NOTCH1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
NOTCH2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
NPR2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
NSD2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
NT5C	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
NT5C3A	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
NUDT15	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
NUDT21	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
NUDT21	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
NUDT9	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
NUMA1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
NUP107	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
NUP153	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
NUP205	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
NUP50	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
NUP98	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
NUPR1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
NUSAP1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
ODC1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
ODF2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
ORC2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
ORC5	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
ORC6	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
ORC6	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
OSGIN1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PA2G4	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PAFAH1B1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
PAICS	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PAK1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PAN2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PBK	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
PCNA	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
PCNA	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PCNA	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PDCD4	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PDE4B	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
PDE6G	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
PDGFA	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PDGFRB	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PDS5B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PDS5B	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
PEA15	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PERP	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PHF5A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PHLDA3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PIDD1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PITPNC1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PLAT	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PLCB2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PLK1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PLK1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
PLK2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PLK3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PLK4	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PLK4	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
PLPPR4	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PLXNB2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PMAIP1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PML	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
PMM1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PMS2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PNN	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PNP	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLA1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLA2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLA2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
POLA2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
POLB	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLD1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLD1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
POLD2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
POLD3	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLD3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
POLD4	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLE	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
POLE	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
POLE4	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLE4	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
POLH	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
